Num	Time
1	0.028115
2	0.009102
3	0.006329
4	0.004935
5	0.006254
6	0.005125
7	0.010620
8	0.004469
9	0.004376
10	0.004391
11	0.004300
12	0.004157
13	0.005047
14	0.005906
15	0.007074
16	0.005421
17	0.008551
18	0.006243
19	0.006153
20	0.004640
21	0.006121
22	0.004747
23	0.008046
24	0.008705
25	0.006939
26	0.008561
27	0.004689
28	0.006896
29	0.005816
30	0.007435
31	0.007080
32	0.012063
33	0.012408
34	0.019196
35	0.006578
36	0.005320
37	0.004816
38	0.012676
39	0.013065
40	0.005629
1	0.017154
2	0.009126
3	0.006117
4	0.005582
5	0.006043
6	0.005523
7	0.008589
8	0.008869
9	0.007337
10	0.006108
11	0.009960
12	0.005689
13	0.005515
14	0.005375
15	0.004615
16	0.003942
17	0.004288
18	0.004942
19	0.005111
20	0.009215
21	0.010205
22	0.015005
23	0.005014
24	0.004822
25	0.005617
26	0.005868
27	0.004934
28	0.004855
29	0.005530
30	0.004542
31	0.005044
32	0.004945
33	0.004954
34	0.007907
35	0.005905
36	0.008700
37	0.010977
38	0.006292
39	0.012138
40	0.011873
1	0.025162
2	0.008882
3	0.012871
4	0.007095
5	0.006127
6	0.005173
7	0.004989
8	0.004088
9	0.006085
10	0.005357
11	0.008491
12	0.004110
13	0.005071
14	0.004745
15	0.010583
16	0.004729
17	0.005095
18	0.005857
19	0.004339
20	0.005454
21	0.004381
22	0.004154
23	0.004591
24	0.003846
25	0.005303
26	0.006312
27	0.004953
28	0.005194
29	0.006187
30	0.006575
31	0.006705
32	0.006715
33	0.008740
34	0.007407
35	0.004908
36	0.005005
37	0.008220
38	0.009712
39	0.006658
40	0.009246
1	0.018528
2	0.009382
3	0.006345
4	0.004930
5	0.005917
6	0.005160
7	0.004605
8	0.014424
9	0.004325
10	0.005986
11	0.004537
12	0.004351
13	0.004343
14	0.003988
15	0.003708
16	0.004859
17	0.004670
18	0.004146
19	0.008362
20	0.005254
21	0.004578
22	0.004234
23	0.004892
24	0.005157
25	0.004956
26	0.005482
27	0.005610
28	0.005687
29	0.003669
30	0.003998
31	0.004995
32	0.005056
33	0.004760
34	0.004932
35	0.004935
36	0.004774
37	0.004610
38	0.006101
39	0.004708
40	0.004870
1	0.016928
2	0.008774
3	0.006325
4	0.004865
5	0.006206
6	0.005219
7	0.004571
8	0.004093
9	0.005711
10	0.005285
11	0.004602
12	0.005366
13	0.005241
14	0.005177
15	0.004906
16	0.003997
17	0.004210
18	0.004330
19	0.008810
20	0.010525
21	0.005306
22	0.004123
23	0.004329
24	0.004690
25	0.004263
26	0.011160
27	0.005304
28	0.005231
29	0.005014
30	0.005454
31	0.005119
32	0.004971
33	0.005142
34	0.004466
35	0.008860
36	0.004663
37	0.005845
38	0.004821
39	0.004679
40	0.004919
1	0.017754
2	0.009001
3	0.006407
4	0.004890
5	0.006416
6	0.005115
7	0.004711
8	0.003824
9	0.010241
10	0.004826
11	0.005759
12	0.004580
13	0.004442
14	0.003808
15	0.004637
16	0.005013
17	0.008138
18	0.004212
19	0.005300
20	0.004314
21	0.005874
22	0.004505
23	0.005276
24	0.007918
25	0.004348
26	0.005129
27	0.005573
28	0.003305
29	0.011169
30	0.007342
31	0.005090
32	0.004844
33	0.005221
34	0.005444
35	0.004817
36	0.005085
37	0.005197
38	0.007126
39	0.005543
40	0.004875
1	0.019005
2	0.008995
3	0.006215
4	0.004926
5	0.005870
6	0.005254
7	0.004944
8	0.003787
9	0.006132
10	0.004021
11	0.007368
12	0.004415
13	0.004073
14	0.004011
15	0.004206
16	0.004795
17	0.005528
18	0.004310
19	0.004813
20	0.005092
21	0.009055
22	0.005325
23	0.007282
24	0.004343
25	0.005168
26	0.005581
27	0.005010
28	0.004695
29	0.005311
30	0.004874
31	0.004777
32	0.004470
33	0.004502
34	0.005018
35	0.004817
36	0.005728
37	0.004758
38	0.005060
39	0.005201
40	0.004699
1	0.018798
2	0.009619
3	0.006441
