Num	Time
1	0.019832
2	0.006829
3	0.004774
4	0.004478
5	0.005007
6	0.004107
7	0.003684
8	0.003417
9	0.027174
10	0.029339
11	0.035269
12	0.038889
13	0.043948
14	0.045663
15	0.047934
16	0.054895
17	0.052197
18	0.068589
19	0.053607
20	0.059258
21	0.067412
22	0.057219
23	0.065282
24	0.060953
25	0.071939
26	0.073174
27	0.074504
28	0.086714
29	0.074293
30	0.086691
31	0.106765
32	0.105178
33	0.101135
34	0.096637
35	0.113232
36	0.112006
37	0.124663
38	0.114145
39	0.128245
40	0.132781
1	0.011811
2	0.006700
3	0.004802
4	0.004368
5	0.004601
6	0.004348
7	0.003718
8	0.003433
9	0.026768
10	0.030049
11	0.033431
12	0.037633
13	0.039745
14	0.046821
15	0.044351
16	0.044585
17	0.048180
18	0.051199
19	0.062443
20	0.059369
21	0.056842
22	0.068917
23	0.063405
24	0.073598
25	0.069090
26	0.068643
27	0.076575
28	0.088610
29	0.101442
30	0.098596
31	0.096546
32	0.096310
33	0.115484
34	0.104456
35	0.111292
36	0.130540
37	0.124918
38	0.115797
39	0.133905
40	0.140551
1	0.011353
2	0.007121
3	0.004913
4	0.004049
5	0.004720
6	0.007137
7	0.003948
8	0.003488
9	0.027053
10	0.027289
11	0.045713
12	0.054429
13	0.041564
14	0.043362
15	0.074825
16	0.046277
17	0.054925
18	0.050459
19	0.061898
20	0.056322
21	0.054786
22	0.063760
23	0.074853
24	0.064850
25	0.073961
26	0.082679
27	0.085412
28	0.084092
29	0.109248
30	0.091001
31	0.095327
32	0.120759
33	0.143765
34	0.162089
35	0.164203
36	0.106816
37	0.103706
38	0.126660
39	0.128774
40	0.139203
1	0.010756
2	0.006515
3	0.005200
4	0.005058
5	0.005415
6	0.004525
7	0.005232
8	0.003426
9	0.032432
10	0.027265
11	0.035620
12	0.036003
13	0.039980
14	0.074782
15	0.043910
16	0.046835
17	0.048533
18	0.070966
19	0.106334
20	0.109453
21	0.072989
22	0.134443
23	0.200997
24	0.084877
25	0.083188
26	0.084937
27	0.083302
28	0.096278
29	0.120280
30	0.090922
31	0.118359
32	0.118766
33	0.104984
34	0.106580
35	0.108371
36	0.117039
37	0.134688
38	0.129934
39	0.137077
40	0.144457
1	0.010541
2	0.006116
3	0.004733
4	0.004330
5	0.004699
6	0.004309
7	0.004284
8	0.003424
9	0.026972
10	0.026460
11	0.031662
12	0.038151
13	0.056299
14	0.059216
15	0.046145
16	0.047293
17	0.048660
18	0.050176
19	0.065147
20	0.114636
21	0.061443
22	0.066349
23	0.065020
24	0.064470
25	0.072951
26	0.078999
27	0.083675
28	0.117990
29	0.089105
30	0.116093
31	0.108721
32	0.105416
33	0.103664
34	0.113345
35	0.108384
36	0.130066
37	0.239410
38	0.252191
39	0.130664
40	0.291965
1	0.012481
2	0.007926
3	0.012572
4	0.004049
5	0.010967
6	0.009583
7	0.019977
8	0.003751
9	0.094146
10	0.080249
11	0.039051
12	0.051324
13	0.040620
14	0.074295
15	0.045365
16	0.045605
17	0.048210
18	0.061550
19	0.077107
20	0.061304
21	0.057566
22	0.065942
23	0.062347
24	0.067235
25	0.089564
26	0.070115
27	0.079397
28	0.078974
29	0.087857
30	0.091497
31	0.136093
32	0.121650
33	0.103246
34	0.102339
35	0.101726
36	0.128655
37	0.180075
38	0.157530
39	0.125542
40	0.149225
1	0.010840
2	0.008034
3	0.005153
4	0.004815
5	0.005209
6	0.004552
7	0.004317
8	0.003691
9	0.028607
10	0.101702
11	0.036118
12	0.088990
13	0.041596
14	0.042633
15	0.044207
16	0.042749
17	0.051867
18	0.151949
19	0.224317
20	0.235271
21	0.060839
22	0.249469
23	0.065544
24	0.072178
25	0.071295
26	0.121689
27	0.074826
28	0.110366
29	0.115296
30	0.088432
31	0.092439
32	0.114283
33	0.113282
34	0.112573
35	0.111090
36	0.119843
37	0.135593
38	0.157564
39	0.147862
40	0.164959
1	0.011933
2	0.014097
3	0.005488
4	0.008861
5	0.004677
6	0.004781
7	0.004260
8	0.003792
9	0.062054
10	0.030104
11	0.045478
12	0.045731
13	0.040985
14	0.043169
15	0.043983
16	0.048206
17	0.094169
18	0.057648
19	0.055933
20	0.086742
21	0.055675
22	0.077579
23	0.061474
24	0.083867
25	0.070834
26	0.082998
27	0.077133
28	0.089138
29	0.087729
30	0.108686
31	0.094359
32	0.098431
33	0.099256
34	0.098342
35	0.156909
36	0.111536
37	0.454220
38	0.124510
39	0.134209
40	0.155055
1	0.013118
2	0.008323
3	0.011612
4	0.008989
5	0.006799
6	0.007169
7	0.004295
8	0.004358
9	0.026931
10	0.030820
11	0.031742
12	0.041518
13	0.039830
14	0.042287
15	0.045441
16	0.055198
17	0.050455
18	0.053940
19	0.055029
20	0.058418
21	0.225546
22	0.063162
23	0.088815
24	0.061447
25	0.104869
26	0.067137
27	0.183806
28	0.121886
29	0.081222
30	0.092013
31	0.096602
32	0.097256
33	0.100647
34	0.129596
35	0.109192
36	0.125961
37	0.142950
38	0.315498
39	0.149281
40	0.131201
1	0.011181
2	0.006821
3	0.013145
4	0.004952
5	0.005617
6	0.004735
7	0.004547
8	0.004797
9	0.031691
10	0.038891
11	0.035820
12	0.035862
13	0.040428
14	0.042539
15	0.048163
16	0.146369
17	0.048849
18	0.052021
19	0.056201
20	0.057414
21	0.064951
22	0.082211
23	0.066390
24	0.070747
25	0.076347
26	0.080715
27	0.081056
28	0.092249
29	0.098269
30	0.306635
31	0.094229
32	0.234123
33	0.105601
34	0.105098
35	0.112844
36	0.118205
37	0.121158
38	0.120827
39	0.132596
40	0.135861
