Num	Time
1	0.965784
2	0.666535
3	0.613642
4	0.543870
5	0.606875
6	0.665125
7	0.551814
8	0.605880
9	0.656983
10	0.670677
1	1.140281
2	0.766768
3	0.605306
4	0.552869
5	0.583818
6	1.072692
7	0.710061
8	0.643989
9	0.839701
10	0.724467
1	1.018060
2	0.705547
3	0.565411
4	0.499587
5	0.544055
6	0.557989
7	0.543756
8	0.654392
9	0.904188
10	0.769134
1	1.079920
2	0.783664
3	0.559972
4	0.508466
5	0.583759
6	0.532250
7	0.571585
8	0.558630
9	0.671645
10	0.794855
1	1.028204
2	0.707401
3	0.567798
4	0.494824
5	0.555784
6	0.531028
7	0.554538
8	0.597806
9	0.630880
10	0.662860
1	1.009476
2	0.703309
3	0.572398
4	0.497224
5	0.490042
6	0.543412
7	0.542086
8	0.559596
9	0.604458
10	0.869972
1	1.272718
2	0.724236
3	0.586321
4	0.506952
5	0.557515
6	0.542433
7	0.605467
8	0.549914
9	0.604564
10	0.751557
1	1.025096
2	0.717264
3	0.564935
4	0.511988
5	0.551908
6	0.579581
7	0.563588
8	0.578173
9	0.688200
10	0.701744
1	1.042447
2	0.713682
3	0.560473
4	0.504135
5	0.605471
6	0.558196
7	0.561577
8	0.621454
9	0.687317
10	0.783491
1	1.066614
2	0.718457
3	0.570588
4	0.506229
5	0.521638
6	0.522819
7	0.576029
8	0.550574
9	0.604116
10	0.786614
